2024-05-28 23:07:35,Banca creata
2024-05-28 23:07:37,Numar ATM-uri de creat: 1
2024-05-28 23:07:41,ATM adaugat
2024-05-28 23:08:09,Client nou adaugat
2024-05-28 23:08:16,Afisare date client
2024-05-28 23:08:21,ATM adaugat din mod Administrator
2024-05-28 23:08:23,Afisare lista ATM-uri
2024-05-28 23:08:27,Iesire din mod Administrator
2024-05-28 23:08:28,Program terminat
2024-05-28 23:19:28,Banca creata
2024-05-28 23:19:30,Numar ATM-uri de creat: 1
2024-05-28 23:19:33,ATM adaugat
